elapsed time,x-position,y-position,MAC address
5.568982,13.50756,-2.254697,52:AF:FC:0F:A4:2C
5.925185,12.32267,11.62579,A5:0C:9E:6A:B3:AC
6.475666,-13.50488,-16.13507,75:EB:C5:B1:A6:16
7.577826,14.72137,4.254572,52:AF:FC:0F:A4:2C
7.928586,5.40195,12.75283,A5:0C:9E:6A:B3:AC
8.481079,-7.49985,-12.50625,75:EB:C5:B1:A6:16
9.583972,9.955343,0.8035218,52:AF:FC:0F:A4:2C
9.935136,2.389744,9.853551,A5:0C:9E:6A:B3:AC
10.48741,-1.617197,-14.32911,75:EB:C5:B1:A6:16
11.5892,4.526604,-3.644555,52:AF:FC:0F:A4:2C
11.94528,2.615158,2.821668,A5:0C:9E:6A:B3:AC
12.49819,4.619086,-17.58507,75:EB:C5:B1:A6:16
13.60063,2.192497,-4.551219,52:AF:FC:0F:A4:2C
13.95149,1.487805,2.063938,A5:0C:9E:6A:B3:AC
14.50323,7.111873,-13.48409,75:EB:C5:B1:A6:16
15.606,5.376417,1.703879,52:AF:FC:0F:A4:2C
15.95631,-1.63293,-2.850411,A5:0C:9E:6A:B3:AC
16.50806,8.639569,-6.63552,75:EB:C5:B1:A6:16
17.61152,8.560562,7.959415,52:AF:FC:0F:A4:2C
17.96209,1.549346,0.1920569,A5:0C:9E:6A:B3:AC
18.51441,10.16843,0.2182623,75:EB:C5:B1:A6:16
19.6179,11.74609,14.21765,52:AF:FC:0F:A4:2C
19.96838,6.300342,5.362799,A5:0C:9E:6A:B3:AC
20.52924,9.133456,2.701672,75:EB:C5:B1:A6:16
21.62175,14.44553,14.8307,52:AF:FC:0F:A4:2C
21.97519,11.05259,10.5349,A5:0C:9E:6A:B3:AC
22.5437,3.606327,-1.675773,75:EB:C5:B1:A6:16
23.63005,7.521498,13.87749,52:AF:FC:0F:A4:2C
23.98183,15.80442,15.70655,A5:0C:9E:6A:B3:AC
24.55217,-1.904373,-6.040203,75:EB:C5:B1:A6:16
25.63979,0.5516231,12.92944,52:AF:FC:0F:A4:2C
25.99284,15.76491,17.79236,A5:0C:9E:6A:B3:AC
26.5615,-7.3927,-10.38691,75:EB:C5:B1:A6:16
27.65161,-2.667393,9.101299,52:AF:FC:0F:A4:2C
28.00275,8.979723,15.9355,A5:0C:9E:6A:B3:AC
28.57253,-7.732422,-6.087317,75:EB:C5:B1:A6:16
29.66226,-4.105856,2.64246,52:AF:FC:0F:A4:2C
30.01669,2.180921,14.07492,A5:0C:9E:6A:B3:AC
30.5883,-6.947249,0.8776448,75:EB:C5:B1:A6:16
31.67856,-6.677015,-3.872578,52:AF:FC:0F:A4:2C
32.0167,-4.570853,12.22721,A5:0C:9E:6A:B3:AC
32.58928,-5.832547,7.78484,75:EB:C5:B1:A6:16
33.67918,-9.479383,-10.28954,52:AF:FC:0F:A4:2C
34.01765,-11.32583,10.37863,A5:0C:9E:6A:B3:AC
34.58945,-3.781994,11.60587,75:EB:C5:B1:A6:16
35.6841,-12.21447,-16.55244,52:AF:FC:0F:A4:2C
36.02263,-17.91499,8.575432,A5:0C:9E:6A:B3:AC
36.59418,1.476871,7.286673,75:EB:C5:B1:A6:16
37.70377,-12.26214,-11.55147,52:AF:FC:0F:A4:2C
38.02517,-13.02332,7.915839,A5:0C:9E:6A:B3:AC
38.59602,4.551189,1.080478,75:EB:C5:B1:A6:16
39.70537,-11.88872,-4.555829,52:AF:FC:0F:A4:2C
40.02653,-6.037485,7.401634,A5:0C:9E:6A:B3:AC
40.59889,7.601504,-5.231123,75:EB:C5:B1:A6:16
41.706,-11.51549,2.43643,52:AF:FC:0F:A4:2C
42.02697,0.9451596,6.887666,A5:0C:9E:6A:B3:AC
42.60495,10.63976,-11.51778,75:EB:C5:B1:A6:16
43.7115,-11.14991,9.1984,52:AF:FC:0F:A4:2C
44.03193,7.660196,6.4407,A5:0C:9E:6A:B3:AC
44.62053,8.366116,-8.54182,75:EB:C5:B1:A6:16
45.72632,-8.125206,4.736121,52:AF:FC:0F:A4:2C
46.04749,12.88415,11.00071,A5:0C:9E:6A:B3:AC
46.63499,4.401749,-2.711272,75:EB:C5:B1:A6:16
47.74215,-4.625533,-1.390136,52:AF:FC:0F:A4:2C
48.06174,18.10274,15.72164,A5:0C:9E:6A:B3:AC
48.65016,0.4360136,3.121285,75:EB:C5:B1:A6:16
49.74237,-2.410109,-5.314606,52:AF:FC:0F:A4:2C
50.06276,14.37699,16.3477,A5:0C:9E:6A:B3:AC
50.66684,-3.53272,8.958254,75:EB:C5:B1:A6:16
51.74835,-6.011622,0.6632543,52:AF:FC:0F:A4:2C
52.06849,9.016998,13.36932,A5:0C:9E:6A:B3:AC
52.67545,-7.485557,14.77184,75:EB:C5:B1:A6:16
53.75156,-9.629424,6.668987,52:AF:FC:0F:A4:2C
54.07189,4.674796,7.863686,A5:0C:9E:6A:B3:AC
54.67566,-8.785095,16.42955,75:EB:C5:B1:A6:16
55.76552,-12.90039,12.15668,52:AF:FC:0F:A4:2C
56.08627,0.3087999,2.327892,A5:0C:9E:6A:B3:AC
56.69195,-5.203363,10.34903,75:EB:C5:B1:A6:16
57.76672,-8.716183,7.833719,52:AF:FC:0F:A4:2C
58.09036,-3.960775,-3.085643,A5:0C:9E:6A:B3:AC
58.69473,-1.645637,4.309269,75:EB:C5:B1:A6:16
59.76787,-3.919438,2.730052,52:AF:FC:0F:A4:2C
